TeamId,Name,Tag,Region,EstablishedDate
8255888,BetBoom Team,BetBoom,Unknown,2000-01-01
7412785,CyberBonch-1,CB,Unknown,2000-01-01
9467224,Aurora Gaming,Aurora,Unknown,2000-01-01
8605863,Cloud9,C9,Unknown,2000-01-01
9572001,PARIVISION,PV,Unknown,2000-01-01
2163,Team Liquid,Liquid,Unknown,2000-01-01
8291895,Tundra Esports,Tundra,Unknown,2000-01-01
9247354,Team Falcons,FLCN,Unknown,2000-01-01
9255706,Aurora.1xBet,Aurora,Unknown,2000-01-01
5228654,VGJ Storm,VGJ.Storm,Unknown,2000-01-01
10108947,SouthAmericaRejects,SAR,Unknown,2000-01-01
9634742,Chimera Esports,CHMR,Unknown,2000-01-01
7554697,Nigma Galaxy,NGX,Unknown,2000-01-01
9823272,Team Yandex,TY,Unknown,2000-01-01
8169775,Geek Fam,Geek,Unknown,2000-01-01
8121295,mudgolems,.,Unknown,2000-01-01
8260983,TSM,TSM,Unknown,2000-01-01
3214108,Team NP,NP,Unknown,2000-01-01
9131584,BB Team,BB,Unknown,2000-01-01
2519319,(monkey) Business,(monkey),Unknown,2000-01-01
7819701,VP.Prodigy,VP.P,Unknown,2000-01-01
9142866,Business Club,bs,Unknown,2000-01-01
8571960,Team Orca,Orca,Unknown,2000-01-01
5,Invictus Gaming,iG,Unknown,2000-01-01
7119388,Team Spirit,TSpirit,Unknown,2000-01-01
8894818,PSG.Quest,Quest,Unknown,2000-01-01
36,Natus Vincere,NAVI,Unknown,2000-01-01
9017006,NAVI Junior,NAVIj,Unknown,2000-01-01
2101260,BigGooooood,BG,Unknown,2000-01-01
9766941,FLIPSTER TALON,FLIPSTRTLN,Unknown,2000-01-01
9964962,GamerLegion,GL,Unknown,2000-01-01
8721219,Darkside,Darkside,Unknown,2000-01-01
6953913,FlyToMoon,FTM,Unknown,2000-01-01
8261500,Xtreme Gaming,XG,Unknown,2000-01-01
8244493,Team SMG,SMG,Unknown,2000-01-01
8597391,Luna Galaxy,LXG,Unknown,2000-01-01
1848158,LV-Gaming,Lv,Unknown,2000-01-01
999689,Titan,Titan,Unknown,2000-01-01
9373270,Night Pulse,NP,Unknown,2000-01-01
9303484,HEROIC,HEROIC,Unknown,2000-01-01
8761147,tam_sme,tam,Unknown,2000-01-01
8255756,Evil Geniuses,EG,Unknown,2000-01-01
6214538,Newbee,Newbee,Unknown,2000-01-01
8599101,Gaimin Gladiators,GG,Unknown,2000-01-01
5229127,Winstrike,Winstrike,Unknown,2000-01-01
4251435,w33ha earthspirit,,Unknown,2000-01-01
9381131,Uzumaki,uzu,Unknown,2000-01-01
543897,Mineski,Mineski,Unknown,2000-01-01
9338413,MOUZ,MOUZ,Unknown,2000-01-01
9080405,Team Zero,Tz,Unknown,2000-01-01
6382242,Thunder Predator,ThunderP,Unknown,2000-01-01
1910985,TeamMalaysia,MY,Unknown,2000-01-01
8254400,beastcoast,bc,Unknown,2000-01-01
9885130,Perú Rejects,PERU,Unknown,2000-01-01
9187066,Team Tickles,TT,Unknown,2000-01-01
3922738," Thunder Awaken ///",Thunder,Unknown,2000-01-01
726228,Vici Gaming,VG,Unknown,2000-01-01
8204512,Neptune Gaming,NG,Unknown,2000-01-01
15,LGD Gaming,LGD,Unknown,2000-01-01
9640842,Team Tidebound,TT,Unknown,2000-01-01
9798195,Cyber Goose,CG,Unknown,2000-01-01
8261818,Hellbear Smashers,SMASH,Unknown,2000-01-01
9018710,Holy Grail,HG,Unknown,2000-01-01
1820360,TEAMERINO TINKERINO,TT,Unknown,2000-01-01
9381678,Apex Genesis,Apex,Unknown,2000-01-01
7553952,Chicken Fighters !,ChFight!,Unknown,2000-01-01
293390,Radical Online X-tremists,RoX.KIS,Unknown,2000-01-01
7203342,Chaos EC,CHAOS,Unknown,2000-01-01
9828897,REKONIX,RKX,Unknown,2000-01-01
1047281,Speed Gaming International,SPG.int,Unknown,2000-01-01
9248240,TeamWaska,WaSka,Unknown,2000-01-01
8168562,INK ICE,,Unknown,2000-01-01
7748744,CR4ZY,CR4ZY,Unknown,2000-01-01
9885654,Team Aureus,,Unknown,2000-01-01
